handle,text,url
mattmuzzy,"But now, because of ""the people"" we are sticking to the same old shit. All hail GameStop! #fuckyall",http://t.co/VbW2fBhyZz
SalemG90,"RT @MamdoohMohmad: صوره مع الاخ العزيز سالم قريط الشمري

@SalemG90
@rthaill
@hail_ff
@Sa2Azooz http://t.co/O5X3avrJ7G",
wald__hail,@ReTweeT_30 لا يهمني من يتكلم وراء ظهري فيكفيني أنه يخرس عندما يلمحني”,http://t.co/3mG4SIQuSE
Hail_Krisus,@Ninnaline to study?,http://t.co/fttb90TzPs
arif_hail,انـا الذي أسئلك في غيابك وينك يامصدر الشوق عليك ماتشرهت والله من يـوم عيني فارقت عينك زاد شوقي شـوق ولعينك تولہت كان حبك وطن خلني اول محبينك,http://t.co/BuGh4pNwnc
calculiz,@let_it_hail word! me too!,http://t.co/CQJfY4v5UT
EvanOnstot,"Giant hail getting awfully close to the city of Levelland. Here's hoping it stays mostly south, but there are some crops getting pounded.",
JRahn00,All hail Yeezus!,
Aandrade24,"10 more 👊

As the Duke once said, ""Hail to the King baby!"" http://t.co/JX9vSC0OS8",
David_King26,@GymBoiD: Hail Queen Serena 🙌🙌🙌,
queengingerland,@HonkyTonkBufalo I did say all hail cobra!,http://t.co/OxmDspbKRP
lindaPePpaz,All Hail THE QUEEN👑 #Prince'sMom 💋 #MiVasalineTunUp🙊 http://t.co/Jfz8x29qkY,
HAIL_JAKE,stay with the tree like a naturist.,http://t.co/gqy8IZb3jE
JustinR3301,"RT @BryanMuddKAMC: Spotter: no tornado reported right now from Hockley County cell. But 3"" hail and high wind still possible. @rrobertswxla…",
El_Buki_De_Soma,@vampiirraa all hail the wifi god,
